asset,universe,leverage,annual_drag_used,calibration_product
SPY,index,2,0.05,SSO
SPY,index,3,0.09,SPXL
QQQ,index,2,0.05,QLD
QQQ,index,3,0.09,TQQQ
SOXX,index,2,0.05,USD
SOXX,index,3,0.09,SOXL
AAPL,stock,2,0.10622996150263919,AAPU
MSFT,stock,2,0.09977048552487044,MSFU
AMZN,stock,2,0.11073380022532842,AMZU
GOOGL,stock,2,0.1071059220127184,GGLL
META,stock,2,0.06629297418924551,FBL
NVDA,stock,2,0.13428750375536147,NVDL
TSLA,stock,2,0.14140355547669614,TSLL
AMD,stock,2,0.11358846769877684,AMUU
MU,stock,2,0.11655866775335522,MUU
